Rndrng_Prvdr_Geo_Desc,sum_tot_dschrgs,sum_avg_submtd_cvrd_chrg,sum_avg_tot_pymt_amt,sum_avg_mdcr_pymt_amt,IP_MDCR_PYMT_AMT,BENES_TOTAL_CNT,BENES_FFS_CNT,TOT_MDCR_PYMT_AMT
National,6983397,7.990638219E7,1.710926048E7,1.410963565E7,105068450165.48,68192489,29639955,356348752289.06
Alaska,12735,3.156414815E7,6149325.63,5315401.86,362878460.34,117023,97534,1056605732.00
Alabama,109436,5.166956454E7,1.018233764E7,7980957.96,1290563141.24,1136151,420148,4747839101.78
Arkansas,84034,3.403880583E7,8988383.8,7704116.97,1040989124.92,691982,369665,3957402550.11
Arizona,129140,6.661581987E7,1.288487484E7,1.064293692E7,1813412329.25,1494975,643111,6960846260.55
California,619400,1.2068197307E8,2.079172981E7,1.767026987E7,12203972828.16,6936781,2734833,39687258289.51
Colorado,77975,7.726972547E7,1.154065398E7,9502721.91,1162175575.05,1030117,424280,4416609437.05
Connecticut,77360,4.372651784E7,1.32351291E7,1.098867589E7,1276556442.70,740388,277574,3953108636.63
District of Columbia,22046,4.554776285E7,1.097568577E7,8221008.45,277567931.64,98990,52245,718554772.95
Delaware,30536,2.491251162E7,8135977.99,6597761.24,538577081.29,240663,152948,1845916648.06
Florida,577275,9.162163522E7,1.351247041E7,1.118252182E7,6858645108.78,5144675,2023304,26019909927.82
Georgia,189063,6.636430201E7,1.390215685E7,1.124278881E7,2583618344.92,1941856,774650,8786007074.16
Hawaii,15929,2.366864224E7,7797794.13,6101142.85,317693954.73,308028,105400,985535691.83
Iowa,66648,3.524916914E7,8854798.17,7645747.87,1066179282.39,690478,416983,4244171708.19
Idaho,24046,2.464108151E7,6032130.03,5275134.74,441804764.71,388276,187338,1768996209.05
Illinois,311380,6.292123464E7,1.529919867E7,1.207271173E7,4550396062.51,2432605,1237484,15238421762.89
Indiana,162014,5.388065909E7,1.128799593E7,9849364.45,2134440556.96,1387971,662579,7541601413.76
Kansas,74561,5.115264638E7,9387764.33,8120421.98,1056002055.32,594516,366348,4089606622.59
Kentucky,107221,4.625654948E7,1.044517117E7,8577632.18,1345167777.68,1008082,431278,4692029750.22
Louisiana,97475,4.43124154E7,9812987.69,8027384.97,1210790723.83,951359,387826,4842523147.80
Massachusetts,224514,4.389439616E7,1.639389764E7,1.431703242E7,3592108183.85,1463551,823106,10774702949.37
Maryland,168187,2.179838536E7,2.008412298E7,1.864613942E7,3638336325.24,1149670,747584,10285679276.92
Maine,21595,2.037330393E7,6382271.77,5257213.74,425446986.82,379853,149663,1508107651.65
Michigan,208499,4.475927785E7,1.3441141E7,1.105561764E7,2967333522.01,2265749,832427,9453170630.92
Minnesota,99399,4.328703666E7,1.402151023E7,1.148661784E7,1492890571.34,1144584,416832,4743022258.13
Missouri,154586,5.075484177E7,1.171399175E7,1.027613873E7,1867791445.04,1345931,588289,6562917236.88
Mississippi,83071,3.569009069E7,7837870.09,6640226.81,1124548523.66,653073,368984,4419771247.31
Montana,23325,1.724646675E7,5720472.67,5105189.93,399436512.25,261373,171148,1544982098.38
North Carolina,213043,4.902398224E7,1.363383016E7,1.100209376E7,2931692786.57,2224649,966350,10136614690.62
North Dakota,23158,1.717879253E7,5764432.94,4870806.23,264878368.71,147448,93020,966667700.90
Nebraska,44991,3.407371379E7,8729067.07,7627563.52,705391461.43,385640,237148,2648036879.69
New Hampshire,33799,2.955773041E7,7725714.57,6696412.59,622352466.88,341111,199476,2098465300.20
New Jersey,226220,8.303292165E7,1.500113273E7,1.227971068E7,3820235491.49,1768761,878134,12437002320.46
New Mexico,29954,2.717942846E7,6849664.08,5749959.92,560655610.12,466984,203744,1954901306.47
Nevada,61620,7.674271779E7,9194068.53,7688295.55,909163654.49,601698,250513,3142616695.77
New York,431189,8.464473232E7,1.967517413E7,1.628908873E7,8254582694.30,3936225,1599200,24000658368.87
Ohio,256263,5.178546527E7,1.329938909E7,1.056957708E7,3395178675.06,2563352,1015711,11197940031.77
Oklahoma,100759,5.064879108E7,9644679.12,8091163.32,1408249267.66,815624,445869,5397080069.92
Oregon,57015,3.790263468E7,1.213469997E7,1.022254702E7,1133620632.88,955849,380039,3638252536.59
Pennsylvania,315874,8.37873658E7,1.538586021E7,1.212068158E7,4430984736.93,2981655,1222923,14238291724.61
Rhode Island,19309,1.609388775E7,6132091.35,4985062.38,283291181.48,243636,80270,909848149.08
South Carolina,124798,5.509862547E7,1.130509394E7,9176515.6,1776735052.31,1218835,625702,6736631230.94
South Dakota,27653,2.902098455E7,7025529.69,6170777.05,349533900.00,198253,119937,1252710275.51
Tennessee,165912,5.506034044E7,1.167301953E7,9301278.46,1897095623.34,1498118,645450,6844503392.49
Texas,489511,8.484312933E7,1.478506711E7,1.199403578E7,6753888265.76,4736999,1912675,24715136870.96
Utah,37124,3.183143146E7,9836920.06,8367577.58,523952063.44,460425,196445,2120736135.11
Virginia,202558,6.03645224E7,1.377292674E7,1.083331716E7,2746139700.96,1686075,926429,9721949985.12
Vermont,12126,1.051726725E7,2833007.23,2241583.4,344534664.23,165721,104653,1070426528.82
Washington,121187,5.540366947E7,1.332493328E7,1.085251326E7,2096343705.73,1525506,720167,7105695324.32
Wisconsin,105646,4.524214515E7,1.23267157E7,9896577.03,1611735726.89,1312254,530739,5416316472.13
West Virginia,53568,2.925802529E7,7749140.08,6266651.81,707313226.53,466247,211240,2236557397.62
Wyoming,9657,9464980.71,3325957.63,3009542.85,314042987.22,126529,103626,1041235071.43
